step,epoch,train_loss,eval_loss,learning_rate,timestamp
100,0.0731997438008967,2.2797,,0.00019634873323397915,2025-11-24T11:41:23.816560
200,0.1463994876017934,2.0939,,0.00018889716840536514,2025-11-24T11:58:27.812080
300,0.21959923140269008,2.0544,,0.00018144560357675113,2025-11-24T12:15:32.172173
400,0.2927989752035868,2.0501,,0.00017399403874813712,2025-11-24T12:32:36.478037
500,0.3659987190044835,2.0474,,0.0001665424739195231,2025-11-24T12:49:41.686730
500,0.3659987190044835,,2.0118770599365234,,2025-11-24T12:56:08.510690
500,0.3659987190044835,,2.0118770599365234,,2025-11-24T12:56:08.511217
600,0.43919846280538016,2.0204,,0.0001590909090909091,2025-11-24T13:13:12.474180
700,0.5123982066062769,1.962,,0.0001516393442622951,2025-11-24T13:30:16.595150
800,0.5855979504071736,2.005,,0.00014418777943368106,2025-11-24T13:47:21.589800
900,0.6587976942080702,1.9545,,0.00013673621460506707,2025-11-24T14:04:27.188494
1000,0.731997438008967,1.96,,0.00012928464977645307,2025-11-24T14:21:31.582588
1000,0.731997438008967,,1.9622071981430054,,2025-11-24T14:27:58.393060
1000,0.731997438008967,,1.9622071981430054,,2025-11-24T14:27:58.393653
1100,0.8051971818098637,1.9389,,0.00012183308494783904,2025-11-24T14:45:04.069390
1200,0.8783969256107603,1.9578,,0.00011438152011922505,2025-11-24T15:02:08.761757
1300,0.9515966694116571,1.9586,,0.00010692995529061103,2025-11-24T15:19:14.165956
1400,1.0241559154542959,1.8982,,9.947839046199703e-05,2025-11-24T15:36:08.869242
1500,1.0973556592551925,1.83,,9.202682563338302e-05,2025-11-24T15:53:14.095194
1500,1.0973556592551925,,1.9414364099502563,,2025-11-24T15:59:41.758536
1500,1.0973556592551925,,1.9414364099502563,,2025-11-24T15:59:41.759048
1600,1.1705554030560892,1.8373,,8.457526080476901e-05,2025-11-24T16:16:47.086467
1700,1.243755146856986,1.8403,,7.7123695976155e-05,2025-11-24T16:33:52.005205
1800,1.3169548906578827,1.8385,,6.967213114754098e-05,2025-11-24T16:50:56.511013
1900,1.3901546344587794,1.8375,,6.222056631892697e-05,2025-11-24T17:08:01.287480
2000,1.463354378259676,1.8286,,5.476900149031296e-05,2025-11-24T17:25:05.338791
2000,1.463354378259676,,1.9267356395721436,,2025-11-24T17:31:32.097531
2000,1.463354378259676,,1.9267356395721436,,2025-11-24T17:31:32.098048
2100,1.5365541220605727,1.8231,,4.731743666169896e-05,2025-11-24T17:48:37.486126
2200,1.6097538658614696,1.8018,,3.986587183308495e-05,2025-11-24T18:05:41.932702
2300,1.6829536096623663,1.8131,,3.241430700447094e-05,2025-11-24T18:22:47.006734
2400,1.756153353463263,1.8232,,2.496274217585693e-05,2025-11-24T18:39:51.308040
2500,1.8293530972641596,1.8204,,1.751117734724292e-05,2025-11-24T18:56:56.901180
2500,1.8293530972641596,,1.9154655933380127,,2025-11-24T19:03:24.535815
2500,1.8293530972641596,,1.9154655933380127,,2025-11-24T19:03:24.536321
2600,1.9025528410650563,1.8059,,1.0059612518628913e-05,2025-11-24T19:20:28.277666
2700,1.975752584865953,1.8097,,2.608047690014903e-06,2025-11-24T19:37:32.368317
2734,2.0,,,,2025-11-24T19:43:11.979870
